# Nodes
id    node_label  type x         y          demand service_time
0     7074495850  d    2.3483048 48.8971289 0      0.0         
1     2261671808  c    2.3636468 48.8842796 89     0.441       
2     8301096320  c    2.3153266 48.8887952 71     0.297       
3     94140289    c    2.3646846 48.8636389 74     0.438       
4     36483203    c    2.3055523 48.8351495 89     0.395       
5     470149      c    2.3304737 48.8544757 77     0.321       
6     470150      c    2.3286248 48.8518682 61     0.44        
7     11070301702 c    2.3501758 48.8619861 55     0.407       
8     94141832    c    2.3620788 48.8714858 95     0.343       
9     7834795145  c    2.3167563 48.881062  95     0.346       
10    704778      c    2.4061085 48.8526951 47     0.412       
11    792972      c    2.3674946 48.8304324 75     0.332       
12    792973      c    2.3673258 48.8305555 94     0.489       
13    11586572434 c    2.3197554 48.8413082 40     0.306       
14    5431407637  c    2.3511663 48.8808081 96     0.284       
15    1756761496  c    2.3369916 48.852902  71     0.482       
16    559057561   c    2.3735065 48.8707721 42     0.298       
17    1759758109  c    2.2987254 48.8459633 84     0.275       
18    8175285152  c    2.375322  48.896806  22     0.413       
19    680443050   c    2.3495605 48.8608903 92     0.306       
20    270678186   c    2.3059629 48.8749692 69     0.269       
21    34818735    c    2.2654425 48.8539825 45     0.337       
22    11872252720 c    2.384062  48.8836866 97     0.254       
23    10737439153 c    2.3681203 48.8763001 76     0.472       
24    94139827    c    2.3667404 48.8631027 71     0.29        
25    329113140   c    2.3812171 48.8731156 60     0.287       
26    94182333    c    2.3605267 48.8836131 43     0.314       
27    27235262    c    2.3149111 48.8770565 26     0.377       
28    12086028349 c    2.3757402 48.8514006 24     0.338       
29    24911942    c    2.3404921 48.8896993 92     0.403       
30    164102984   c    2.3087632 48.8444136 54     0.457       
31    116120011   c    2.2928056 48.8437601 75     0.355       
32    110548696   c    2.297758  48.8379106 21     0.431       
33    1758970586  c    2.2693711 48.8546787 55     0.257       
34    15643098    c    2.3373626 48.8666409 44     0.362       
35    25625054    c    2.2957985 48.8657014 33     0.43        
36    116117345   c    2.2961635 48.8458067 90     0.436       
37    6349517794  c    2.3172787 48.8470687 23     0.499       
38    60913379    c    2.3802491 48.866354  95     0.312       
39    94142433    c    2.3614229 48.8708496 82     0.441       
40    568421601   c    2.3648678 48.8539646 34     0.44        
41    8894513383  c    2.2824139 48.879436  60     0.353       
42    968764522   c    2.3538832 48.85696   71     0.43        
43    25272938    c    2.3355001 48.8662468 23     0.269       
44    367986      c    2.3761436 48.8513069 30     0.498       
45    329972466   c    2.3475576 48.8671382 41     0.256       
46    149001460   c    2.3292957 48.8579425 56     0.395       
47    411256178   c    2.3521364 48.8587685 30     0.353       
48    368125      c    2.3522069 48.8526464 49     0.478       
49    141566590   c    2.2849038 48.8501839 23     0.363       
50    94199167    c    2.3614744 48.8731658 31     0.288       
51    331419425   f    2.3721035 48.8953149 0      0.0         
52    1579623649  f    2.3237657 48.8248773 0      0.0         
53    3036590949  f    2.3205142 48.8829014 0      0.0         
54    94137863    f    2.3596085 48.8646815 0      0.0         
55    2503084551  f    2.3690105 48.8916624 0      0.0         
56    8547341737  f    2.343086  48.8652925 0      0.0         
57    25009237    f    2.3832295 48.8525211 0      0.0         
58    4983164182  f    2.3782097 48.8918956 0      0.0         
59    24923831    f    2.3235715 48.8244398 0      0.0         
60    497428120   f    2.3095608 48.8757119 0      0.0         
61    125730      a    2.4107318 48.8635232 0      0.0         
62    125742      a    2.401373  48.8518516 0      0.0         
63    125743      a    2.4134092 48.8545629 0      0.0         
64    125745      a    2.4143516 48.8545241 0      0.0         
65    125747      a    2.414664  48.8542608 0      0.0         
66    125748      a    2.414572  48.8537522 0      0.0         
67    125760      a    2.4011777 48.8295385 0      0.0         
68    360930      a    2.3614982 48.8263456 0      0.0         
69    360932      a    2.3572608 48.8261825 0      0.0         
70    360935      a    2.3503781 48.8258123 0      0.0         
71    360937      a    2.3465869 48.825757  0      0.0         
72    360938      a    2.3452101 48.8259416 0      0.0         
73    360946      a    2.3226525 48.8292991 0      0.0         
74    360977      a    2.319263  48.8305326 0      0.0         
75    360978      a    2.3141451 48.8318162 0      0.0         
76    360980      a    2.3092306 48.8335638 0      0.0         
77    360982      a    2.2964732 48.8372138 0      0.0         
78    360983      a    2.2919595 48.8392633 0      0.0         
79    360986      a    2.2855643 48.8421683 0      0.0         
80    360990      a    2.2737147 48.8474292 0      0.0         
81    360991      a    2.2699037 48.8482358 0      0.0         
82    360995      a    2.2622425 48.8479618 0      0.0         
83    360996      a    2.2597533 48.8479246 0      0.0         
84    360997      a    2.2585518 48.8479122 0      0.0         
85    360999      a    2.2618853 48.8530352 0      0.0         
86    361000      a    2.2646623 48.8573541 0      0.0         
87    361001      a    2.2629378 48.8578749 0      0.0         
88    361002      a    2.258932  48.8584182 0      0.0         
89    361003      a    2.2559777 48.8583101 0      0.0         
90    361017      a    2.2369386 48.8514246 0      0.0         
91    361020      a    2.2284981 48.8570696 0      0.0         
92    361024      a    2.232598  48.8637304 0      0.0         
93    361027      a    2.2383105 48.8622922 0      0.0         
