# Nodes
id   node_label  type x         y          demand service_time
0    10186002263 d    4.8699515 45.7343219 0      0.0         
1    191988226   c    4.832321  45.7765709 75     0.278       
2    25334276    c    4.8679982 45.7446692 54     0.32        
3    26106382    c    4.8341684 45.7629247 89     0.333       
4    25327127    c    4.8504003 45.7692966 47     0.43        
5    26480152    c    4.8379187 45.7677524 32     0.332       
6    26106403    c    4.8333546 45.7616176 60     0.285       
7    26106404    c    4.8333318 45.7620267 21     0.42        
8    26106405    c    4.8332979 45.7628864 53     0.392       
9    36863014    c    4.8274451 45.7795501 48     0.345       
10   26740271    c    4.8378853 45.7702173 79     0.351       
11   25306159    c    4.8464982 45.7562968 23     0.289       
12   25316410    c    4.8476461 45.7670638 65     0.265       
13   143418      c    4.8662118 45.74512   86     0.431       
14   26576957    c    4.859433  45.7495895 89     0.27        
15   254580797   c    4.8556106 45.7610485 55     0.353       
16   11490271295 c    4.7809759 45.7534971 58     0.29        
17   27487299    c    4.8208394 45.7425897 37     0.485       
18   2384797254  c    4.8340207 45.7602285 79     0.353       
19   25149511    c    4.8301328 45.7501063 21     0.434       
20   25152584    c    4.8546812 45.7484915 56     0.312       
21   25153100    c    4.8443529 45.7477945 23     0.461       
22   2098196558  c    4.8620122 45.7376932 89     0.386       
23   23667285    c    4.828083  45.7527156 30     0.328       
24   959373398   c    4.8314521 45.761365  70     0.327       
25   6291616343  c    4.8348308 45.7592934 47     0.39        
26   26584158    c    4.831807  45.7669969 98     0.408       
27   12439930983 c    4.8054218 45.7730272 51     0.445       
28   21597804    c    4.8331446 45.7582181 83     0.472       
29   26584172    c    4.8323093 45.7652841 29     0.363       
30   8913584754  c    4.8674011 45.7285982 98     0.401       
31   26106483    c    4.8343242 45.7651243 71     0.355       
32   8831659639  c    4.8426421 45.7579587 38     0.363       
33   26106489    c    4.8342811 45.7646217 25     0.418       
34   25337468    c    4.8429329 45.7525081 34     0.482       
35   23667339    c    4.8290851 45.7538994 58     0.308       
36   838347915   c    4.82824   45.75672   38     0.379       
37   25310862    c    4.8551708 45.7697443 62     0.256       
38   23666834    c    4.8251574 45.7525067 79     0.346       
39   10125505172 c    4.8333425 45.7813171 25     0.36        
40   8788241046  c    4.8234847 45.7456964 70     0.432       
41   23758496    c    4.8307633 45.7588565 53     0.311       
42   130143394   c    4.832224  45.7776234 54     0.366       
43   988369570   c    4.8291588 45.774496  33     0.41        
44   10265001636 c    4.8254622 45.767282  41     0.298       
45   130143398   c    4.8332167 45.7780332 99     0.317       
46   130143404   c    4.8331882 45.77719   65     0.42        
47   26106542    c    4.8330785 45.7653094 70     0.497       
48   130143410   c    4.8323134 45.779495  86     0.295       
49   24809664    c    4.8316594 45.7557778 60     0.474       
50   15925440    c    4.8575887 45.7474912 67     0.347       
51   24809679    c    4.8328498 45.75531   100    0.343       
52   775581408   c    4.8302538 45.7500698 63     0.26        
53   26027232    c    4.8472957 45.7623336 84     0.382       
54   1026456311  c    4.8341447 45.7311793 80     0.464       
55   2994875128  c    4.8536641 45.7486449 76     0.383       
56   26115845    c    4.8395829 45.7352905 56     0.44        
57   8831707916  c    4.8424835 45.7592012 60     0.278       
58   25319183    c    4.847063  45.7635738 47     0.387       
