# Nodes
id    node_label  type x          y          demand service_time
0     2945551085  d    16.8440223 52.3836353 0      0.0         
1     2200423939  c    16.8977767 52.4567269 84     0.428       
2     3644072975  c    16.9447906 52.3962106 74     0.474       
3     1988495888  c    16.9280929 52.4007337 84     0.255       
4     7633311761  c    16.8401394 52.3538946 70     0.439       
5     1145569814  c    16.8984085 52.394009  47     0.492       
6     259447832   c    16.925766  52.4285219 68     0.406       
7     198011929   c    16.9036435 52.3986956 78     0.397       
8     8240481818  c    16.9087069 52.4101303 64     0.401       
9     1857040925  c    16.9052479 52.3633489 54     0.428       
10    11831872030 c    16.9214473 52.4006059 42     0.391       
11    4276511777  c    16.9302534 52.4020588 31     0.39        
12    3151512099  c    16.9220972 52.4508521 75     0.438       
13    5073248805  c    16.8483047 52.4300255 23     0.284       
14    2644662310  c    16.8333283 52.3828323 55     0.406       
15    6694294565  c    16.9120361 52.4433324 57     0.428       
16    3084872744  c    16.8749991 52.3904577 31     0.442       
17    9459908134  c    16.889677  52.4274083 72     0.446       
18    8440158249  c    16.8982886 52.3962079 92     0.358       
19    11163521577 c    16.9076403 52.4115715 50     0.253       
20    2472047662  c    16.942721  52.3831087 78     0.344       
21    11163521583 c    16.9077649 52.4118328 80     0.35        
22    3151512111  c    16.9209416 52.4508456 43     0.415       
23    158774321   c    16.9321217 52.3689286 96     0.389       
24    1652819509  c    16.8959404 52.3926881 70     0.293       
25    4272193590  c    16.9244112 52.402447  28     0.301       
26    2802034238  c    16.9333285 52.4352201 26     0.299       
27    11377573954 c    16.8815394 52.3997282 57     0.428       
28    2012079692  c    16.9668289 52.3762514 20     0.332       
29    2454085709  c    16.9226551 52.4600122 90     0.288       
30    6591421517  c    16.8651821 52.4009779 55     0.338       
31    3837814356  c    16.9276585 52.4008708 22     0.362       
32    364652631   c    16.9021134 52.3973172 54     0.324       
33    2949668959  c    16.8847582 52.3882554 43     0.312       
34    4275079263  c    16.8615244 52.4038552 72     0.342       
35    194742879   c    16.9438194 52.3808033 53     0.398       
