# Nodes
id   node_label  type x         y          demand service_time
0    5584972757  d    3.210395  51.2657938 0      0.0         
1    7425638406  c    3.2284282 51.1999253 64     0.471       
2    11219480070 c    3.2169346 51.2398928 62     0.452       
3    771807754   c    3.2175434 51.2060602 50     0.411       
4    305438219   c    3.2305673 51.2085552 98     0.489       
5    1728930836  c    3.1742802 51.1994688 49     0.333       
6    315739159   c    3.2167976 51.214459  24     0.462       
7    312714780   c    3.2217881 51.2097844 51     0.44        
8    995023903   c    3.2222867 51.2067531 38     0.259       
9    364719648   c    3.2477384 51.2102522 39     0.354       
10   113543202   c    3.2318742 51.2044794 96     0.32        
11   4652305966  c    3.1925921 51.2153163 76     0.398       
12   26343982    c    3.2202375 51.2181333 35     0.266       
13   1389338678  c    3.1851087 51.3194131 40     0.259       
14   5294655045  c    3.2171856 51.2150327 75     0.292       
15   26362453    c    3.2213824 51.2061473 76     0.325       
16   318179420   c    3.2081571 51.2142109 32     0.251       
17   998345315   c    3.2203124 51.2055449 64     0.464       
18   17421926    c    3.2228612 51.2092221 87     0.487       
19   1392762472  c    3.2054923 51.2440383 32     0.265       
20   17422442    c    3.2271213 51.2069419 72     0.396       
21   17422444    c    3.2278841 51.2073198 89     0.257       
22   324283518   c    3.2044461 51.2024724 92     0.488       
23   6680333961  c    3.2027288 51.323865  44     0.271       
24   364717713   c    3.2497497 51.2018338 22     0.299       
25   1976211447  c    3.192483  51.2080204 78     0.422       
26   315801748   c    3.2265501 51.2073082 64     0.474       
27   7939597463  c    3.189915  51.2234226 59     0.433       
28   6564645022  c    3.2608133 51.208751  72     0.475       
29   1398745763  c    3.2243235 51.2041257 23     0.439       
30   312714406   c    3.225313  51.2114981 74     0.498       
31   171583149   c    3.1997688 51.2012012 88     0.282       
32   315739824   c    3.2199352 51.2118993 100    0.417       
33   5279927986  c    3.2225255 51.2076955 100    0.376       
34   2961483447  c    3.2281616 51.2232779 22     0.395       
35   5279927992  c    3.2225648 51.2079494 43     0.258       
36   10712575679 c    3.1953061 51.2255694 78     0.475       
37   1845849793  c    3.2007774 51.2509099 94     0.491       
38   893339337   c    3.2569259 51.2138315 32     0.379       
39   1477267156  c    3.2061115 51.3331811 41     0.272       
40   6965150426  c    3.2033808 51.2430354 36     0.486       
41   1845849826  c    3.2012104 51.2509707 84     0.271       
42   305204963   c    3.2130255 51.1940991 42     0.277       
43   315793131   c    3.2245526 51.2100679 63     0.446       
44   323735275   c    3.235256  51.1987892 52     0.391       
45   669556973   c    3.2005026 51.186436  63     0.294       
46   131927278   c    3.2028237 51.2018536 54     0.337       
47   3118271213  c    3.2146594 51.2208861 42     0.402       
48   3190279408  c    3.2633098 51.208436  27     0.252       
49   1708851956  c    3.180685  51.1971765 74     0.488       
50   3190279412  c    3.2586803 51.2090208 34     0.452       
51   11999107830 c    3.196599  51.2002944 97     0.369       
52   5747972347  c    3.2000173 51.2130337 82     0.434       
53   369435393   c    3.2012996 51.212339  42     0.464       
54   318175503   c    3.2150932 51.2054501 80     0.296       
55   1164763920  c    3.2187248 51.2116802 96     0.491       
56   17421081    c    3.2211776 51.2083532 53     0.415       
57   144296222   c    3.21925   51.206688  100    0.342       
58   321837346   c    3.1833862 51.1976787 94     0.455       
59   2962664760  c    3.2130781 51.2223068 91     0.48        
60   183370050   c    3.1995862 51.2107457 74     0.261       
61   323091268   c    3.2141323 51.1879458 27     0.322       
62   101028678   c    3.1927383 51.1879376 67     0.371       
63   1082516806  c    3.1933742 51.2950143 34     0.319       
64   2962746194  c    3.266363  51.2081992 87     0.472       
65   6731795285  c    3.2480608 51.2102116 43     0.349       
66   17407837    c    3.2159198 51.2056584 92     0.327       
67   9794983264  c    3.2511406 51.2146232 26     0.438       
68   5238639464  c    3.2324141 51.2037491 50     0.289       
69   6537188207  c    3.2307184 51.1945368 64     0.488       
70   2272099186  c    3.206279  51.2271934 40     0.433       
71   7004712318  c    3.2137936 51.2212812 36     0.475       
72   318183295   c    3.2182965 51.2168506 95     0.406       
73   4685465491  c    3.2265596 51.2086553 63     0.402       
74   1728433559  c    3.2185465 51.2072652 53     0.379       
75   729919392   c    3.173541  51.1993149 60     0.387       
76   2904682402  c    3.2055992 51.3296638 84     0.371       
77   1927933348  c    3.2099858 51.1889151 82     0.432       
78   5303601061  c    3.2264533 51.2022337 88     0.311       
79   3315891622  c    3.1921489 51.2955033 72     0.308       
80   144305583   c    3.212154  51.1904031 90     0.395       
81   1914290610  c    3.2188205 51.2222253 53     0.451       
82   7439955382  c    3.1964695 51.2250484 33     0.333       
83   17421753    c    3.2256635 51.2078515 65     0.255       
84   17421761    c    3.2250707 51.207343  88     0.353       
85   10181367238 c    3.1976887 51.2945042 89     0.439       
86   1019834311  c    3.2045682 51.3327798 92     0.484       
87   26343891    c    3.2267125 51.2095906 29     0.256       
88   315742165   c    3.220228  51.2074423 21     0.335       
89   5398522331  c    3.1965953 51.2460683 35     0.349       
90   6561872862  c    3.2473364 51.210944  21     0.394       
91   904381922   c    3.2326384 51.2251964 63     0.297       
92   323744227   c    3.242347  51.2014651 37     0.283       
93   315739623   c    3.2187867 51.2128627 87     0.412       
94   7228214248  c    3.2101339 51.2311288 99     0.491       
95   1024834025  c    3.2020792 51.2490273 62     0.25        
96   324283368   c    3.1984693 51.2009154 40     0.29        
97   183459820   c    3.1845257 51.185456  52     0.404       
98   1389338607  c    3.1849405 51.3175718 20     0.304       
99   684706807   c    3.2476447 51.2153673 50     0.38        
100  893346812   c    3.2613407 51.2136118 68     0.458       
101  5241956798  f    3.2219205 51.2042312 0      0.0         
102  1847032870  f    3.2132007 51.3304894 0      0.0         
103  1168825640  f    3.2184636 51.1970331 0      0.0         
104  1023134635  f    3.184232  51.3282317 0      0.0         
105  5232146925  f    3.2075791 51.2143697 0      0.0         
106  4996107954  f    3.2268232 51.1966863 0      0.0         
107  117320339   f    3.2043848 51.2000298 0      0.0         
108  411727572   f    3.2482534 51.2137184 0      0.0         
109  393192542   f    3.1913904 51.1806978 0      0.0         
110  7039193662  f    3.2005439 51.2212743 0      0.0         
111  17407584    a    3.2168404 51.2057674 0      0.0         
112  17407754    a    3.216128  51.2071852 0      0.0         
113  17407762    a    3.2171827 51.2058886 0      0.0         
114  17421101    a    3.2287342 51.2094468 0      0.0         
115  17421107    a    3.2295503 51.2097365 0      0.0         
116  17421108    a    3.2301162 51.2090357 0      0.0         
117  17421110    a    3.2293442 51.2087351 0      0.0         
118  17421114    a    3.2302926 51.2099159 0      0.0         
119  17421762    a    3.2248494 51.2070758 0      0.0         
120  17422185    a    3.2261755 51.2107097 0      0.0         
121  17422448    a    3.2284885 51.2076119 0      0.0         
122  17422537    a    3.2248839 51.2055077 0      0.0         
123  17422567    a    3.223751  51.2048399 0      0.0         
124  17422577    a    3.2251705 51.2030898 0      0.0         
125  17422579    a    3.2258975 51.2025679 0      0.0         
126  17422588    a    3.2273404 51.2014524 0      0.0         
127  26343703    a    3.2241057 51.2027595 0      0.0         
128  26343706    a    3.2208864 51.2024187 0      0.0         
129  26343710    a    3.2283114 51.2039567 0      0.0         
130  26343712    a    3.2296983 51.2042108 0      0.0         
131  26343714    a    3.2291963 51.2133656 0      0.0         
132  26343722    a    3.2295238 51.2152258 0      0.0         
133  26343742    a    3.2311817 51.2199605 0      0.0         
134  26343749    a    3.2333977 51.2205772 0      0.0         
135  26343755    a    3.2328564 51.2211845 0      0.0         
136  26343764    a    3.2295425 51.2128137 0      0.0         
137  26343767    a    3.2288289 51.2152159 0      0.0         
138  26343769    a    3.2286709 51.2145023 0      0.0         
139  26343774    a    3.2287091 51.2132274 0      0.0         
140  26343780    a    3.2285453 51.2135661 0      0.0         
141  26343782    a    3.2268254 51.2136786 0      0.0         
142  26343783    a    3.2259284 51.2136352 0      0.0         
143  26343785    a    3.2254676 51.2136367 0      0.0         
144  26343801    a    3.223117  51.212172  0      0.0         
145  26343806    a    3.2223937 51.211632  0      0.0         
146  26343816    a    3.220853  51.2109258 0      0.0         
147  26343818    a    3.2260311 51.2132131 0      0.0         
148  26343822    a    3.224908  51.2130416 0      0.0         
149  26343830    a    3.2300875 51.2130023 0      0.0         
150  26343831    a    3.2297687 51.2134951 0      0.0         
151  26343835    a    3.2305253 51.2135618 0      0.0         
152  26343841    a    3.2297765 51.2082642 0      0.0         
153  26343848    a    3.2279573 51.2063628 0      0.0         
154  26343850    a    3.2285422 51.2059455 0      0.0         
155  26343854    a    3.2291316 51.2055335 0      0.0         
156  26343868    a    3.2205938 51.2002422 0      0.0         
157  26343876    a    3.2228889 51.2062458 0      0.0         
158  26343881    a    3.2281296 51.2109266 0      0.0         
159  26343882    a    3.2282637 51.2108507 0      0.0         
160  26343889    a    3.2264557 51.2093286 0      0.0         
161  26343890    a    3.2263524 51.2095564 0      0.0         
162  26343901    a    3.2336344 51.2122046 0      0.0         
163  26343902    a    3.2346761 51.2123069 0      0.0         
164  26343908    a    3.2386919 51.2138569 0      0.0         
165  26343909    a    3.2398441 51.2125182 0      0.0         
