# Nodes
id   node_label  type x         y          demand service_time
0    772213188   d    2.8244858 42.001146  0      0.0         
1    772161540   c    2.8149347 41.9714004 64     0.308       
2    773371396   c    2.8166481 41.9764689 93     0.451       
3    772278789   c    2.8285806 41.9733964 72     0.292       
4    772097543   c    2.8194352 41.9921855 35     0.368       
5    772197897   c    2.8025432 41.9767007 68     0.397       
6    771995657   c    2.8174648 41.9849931 45     0.33        
7    772225036   c    2.8198538 41.9773616 40     0.262       
8    772165135   c    2.8197937 41.9948507 64     0.476       
9    772188688   c    2.7977711 41.9930126 77     0.252       
10   772168721   c    2.8084832 41.9763501 47     0.375       
11   772042256   c    2.8178939 41.9764068 63     0.44        
12   772199440   c    2.8166574 41.9756594 53     0.389       
13   772054039   c    2.8216331 41.9756303 90     0.467       
14   772166682   c    2.8178751 41.981871  74     0.283       
15   771981859   c    2.8211847 41.9773786 59     0.313       
16   772011044   c    2.8150475 41.9684394 71     0.29        
17   772149285   c    2.8195259 41.9774491 49     0.492       
18   772003875   c    2.81028   41.9787548 57     0.402       
19   772204587   c    2.8041859 41.9747655 26     0.272       
20   772060718   c    2.8048979 41.9763455 40     0.312       
21   775062588   c    2.8233208 41.9822049 23     0.39        
22   771997756   c    2.8230071 41.986031  37     0.361       
23   772207171   c    2.8237012 41.9813089 95     0.312       
24   772270153   c    2.8198022 41.9954125 84     0.408       
25   772189257   c    2.8236349 41.9677828 90     0.255       
26   772112462   c    2.8228211 41.9764673 52     0.338       
27   772235344   c    2.8238614 41.9684562 75     0.351       
28   772161106   c    2.8204056 41.9784984 35     0.254       
29   772276819   c    2.8215252 41.9849394 60     0.427       
30   772123222   c    2.8224687 41.9796959 66     0.385       
31   772159066   c    2.8178704 41.9710471 46     0.255       
32   773371486   c    2.818894  41.9778406 38     0.487       
33   772279905   c    2.826143  41.9759724 77     0.5         
34   370330726   c    2.8212126 41.9794077 90     0.426       
35   772156519   c    2.8186899 41.9806907 69     0.305       
36   771991660   c    2.8128541 41.9787865 51     0.268       
37   771992686   c    2.8116252 41.9823381 27     0.424       
38   772042355   c    2.8059239 41.9750643 49     0.452       
39   772179572   c    2.8197113 41.9770518 22     0.317       
40   772110969   c    2.8109056 41.9767774 34     0.264       
41   772125310   c    2.8228903 41.9822027 34     0.29        
42   772213892   c    2.8199251 41.9800712 95     0.414       
43   771965572   c    2.8153287 41.9831448 96     0.339       
44   772061831   c    2.818839  41.9822715 30     0.342       
45   772184206   c    2.8270496 41.9886761 48     0.488       
46   12379242646 c    2.8135089 41.967603  34     0.43        
47   772006038   c    2.8150506 41.9807138 68     0.378       
48   772024473   c    2.8232518 41.9861047 56     0.367       
49   773397155   c    2.8020946 41.9755051 47     0.422       
50   772208804   c    2.8206523 41.9764094 43     0.439       
51   772226212   c    2.8160251 41.9841272 46     0.497       
52   772224682   c    2.8245333 41.9738706 72     0.41        
53   772077240   c    2.821669  41.9820478 26     0.36        
54   771985092   c    2.8197819 41.9687005 32     0.319       
55   772070596   c    2.8205014 41.9739885 49     0.321       
56   772259022   c    2.819222  41.976131  33     0.348       
57   6377199314  c    2.7999847 41.9604424 26     0.332       
58   772150998   c    2.8162685 41.969937  48     0.361       
59   772008153   c    2.8196188 41.9776944 83     0.34        
60   772200159   c    2.8153045 41.9723289 53     0.419       
61   771996895   c    2.8185946 41.9829361 26     0.367       
62   772080353   c    2.8213316 41.9766578 31     0.459       
63   772195041   c    2.812816  41.9775478 54     0.333       
64   772169955   c    2.8112446 41.9622921 72     0.457       
65   771990249   c    2.8038583 41.9760268 72     0.446       
66   772104697   c    2.8221882 41.9771738 35     0.405       
67   772155631   c    2.8208795 41.9768296 80     0.463       
68   772148463   c    2.821654  41.9839464 93     0.392       
69   772138223   c    2.8156383 41.97179   70     0.334       
70   772124402   c    2.81071   41.9680822 58     0.323       
71   772172531   c    2.8203486 41.9732985 67     0.293       
72   772161273   c    2.8066409 41.9734692 96     0.388       
73   772146428   c    2.8237172 41.9789033 85     0.272       
74   772080381   c    2.8246482 41.972242  61     0.432       
75   1382862592  c    2.8093772 41.9776411 23     0.409       
76   772080387   c    2.8079335 41.9770741 22     0.491       
77   3570190595  c    2.813299  41.9927141 24     0.292       
78   772190474   c    2.8222476 41.9744722 65     0.358       
79   772211473   c    2.8204935 41.975868  98     0.377       
80   818799380   c    2.8027897 41.9757236 62     0.448       
81   771968277   c    2.8025005 41.9753362 25     0.403       
82   772168472   c    2.8105449 41.970065  72     0.332       
83   772080417   c    2.8116038 41.9792964 60     0.352       
84   772165410   c    2.8239318 41.9881719 32     0.363       
85   772258086   c    2.8123794 41.9781387 66     0.493       
86   1883558694  c    2.8257528 41.9749609 35     0.479       
87   357522730   c    2.8030706 41.9745757 34     0.346       
88   772176179   c    2.8113299 41.9624975 69     0.405       
89   771993396   c    2.8186613 41.969511  91     0.28        
90   772240695   c    2.8072633 41.9732327 31     0.292       
91   772186937   c    2.8286923 41.9629977 42     0.278       
92   772181313   c    2.823127  41.9805084 21     0.451       
93   771968837   c    2.818351  41.9690575 64     0.291       
94   772014917   c    2.8233124 41.9779482 56     0.33        
95   772161862   c    2.8189047 41.9751573 95     0.429       
96   772038986   c    2.8201642 41.9814101 70     0.289       
97   482350926   c    2.8199239 41.98235   32     0.415       
98   772154703   c    2.8216984 41.9836231 29     0.385       
99   771982160   c    2.8237573 41.9684772 39     0.442       
100  772191569   c    2.8068764 41.9515101 20     0.368       
101  772161360   c    2.8226654 41.9859488 85     0.293       
