# Nodes
id   node_label  type x         y          demand service_time
0    42003599    d    5.6569464 50.8687629 0      0.0         
1    41966087    c    5.7276164 50.8434805 47     0.26        
2    41977869    c    5.7314847 50.8523013 85     0.261       
3    41978384    c    5.7137914 50.8525461 90     0.296       
4    41969687    c    5.6749533 50.8462469 55     0.433       
5    2835661856  c    5.6994368 50.8468851 38     0.317       
6    41991201    c    5.6709894 50.8607401 98     0.366       
7    41970209    c    5.6795874 50.8467768 52     0.499       
8    41969188    c    5.6741213 50.8459567 25     0.287       
9    41976884    c    5.6901295 50.8515994 56     0.434       
10   3118450741  c    5.715302  50.8558465 87     0.327       
11   294032952   c    5.690119  50.8480062 99     0.392       
12   41973822    c    5.6853521 50.8496853 58     0.388       
13   41991233    c    5.66993   50.86079   80     0.418       
14   41972806    c    5.6944891 50.8487029 86     0.427       
15   41979979    c    5.6845153 50.8535068 77     0.278       
16   2043613772  c    5.7321003 50.8638115 98     0.366       
17   41962064    c    5.7298825 50.8408052 81     0.351       
18   360180307   c    5.700168  50.8568406 89     0.425       
19   2260017246  c    5.6882237 50.850547  48     0.262       
20   571173986   c    5.7276159 50.8438575 99     0.258       
21   240645225   c    5.6928117 50.8474387 87     0.447       
22   41963632    c    5.7278213 50.8417101 45     0.344       
23   12658367601 c    5.7047325 50.869493  92     0.498       
24   985224306   c    5.6916357 50.8518624 46     0.387       
25   41971316    c    5.6985542 50.8475516 99     0.302       
26   41972353    c    5.689123  50.8484257 85     0.328       
27   843943558   c    5.7211968 50.8429674 54     0.342       
28   5901793930  c    5.7126749 50.8497276 24     0.262       
29   41973899    c    5.7047672 50.8497507 78     0.339       
30   41962123    c    5.7315437 50.8408263 40     0.411       
31   41967250    c    5.7276207 50.8443287 24     0.357       
32   7997463699  c    5.7290429 50.828118  38     0.282       
33   11607291030 c    5.6895715 50.8541906 33     0.322       
34   2095234711  c    5.6648628 50.8502118 95     0.297       
35   5901793943  c    5.7127701 50.8494603 20     0.468       
36   41976989    c    5.6912321 50.8517275 83     0.483       
37   41967261    c    5.6912936 50.8444086 53     0.259       
38   41969315    c    5.6923218 50.8460656 20     0.368       
39   41970339    c    5.6917651 50.8468374 97     0.261       
40   41983145    c    5.7302107 50.8553805 85     0.421       
41   41978539    c    5.7147688 50.8526079 75     0.363       
42   41951405    c    5.70361   50.83134   51     0.353       
43   567111856   c    5.693554  50.8528532 21     0.27        
44   4515710128  c    5.6886799 50.855546  93     0.465       
45   4515710131  c    5.6872397 50.8556714 49     0.301       
46   1344502451  c    5.7128369 50.828367  84     0.49        
47   11381394103 c    5.7156224 50.8764212 80     0.45        
48   438222522   c    5.7266316 50.844486  68     0.273       
49   1344502462  c    5.7133198 50.8277974 76     0.38        
50   41979587    c    5.712534  50.8533203 96     0.373       
51   41970374    c    5.6788783 50.8468834 96     0.315       
52   41966279    c    5.7259167 50.8436805 99     0.455       
53   41992395    c    5.733588  50.861603  49     0.445       
